Object Type;Object Name;Data Source;Time Period;Category;Data Item;Statistic Type;Value
TimePath;ExitingSection;[Travelers];Run;Throughput;NumberEntered;Total;589
TimePath;ExitingSection;[Travelers];Run;Throughput;NumberExited;Total;589
TimePath;FranciscoJoaquim_To_AvBrasil;[Travelers];Run;Content;NumberOnLink;Average;0,134979166666674
TimePath;FranciscoJoaquim_To_AvBrasil;[Travelers];Run;Content;NumberOnLink;Maximum;1
TimePath;FranciscoJoaquim_To_AvBrasil;[Travelers];Run;Content;NumberOnLink;Minimum;0
TimePath;FranciscoJoaquim_To_AvBrasil;[Travelers];Run;FlowTime;TimeOnLink;Average;0,00275000000000014
TimePath;FranciscoJoaquim_To_AvBrasil;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0,0027500000000007
TimePath;FranciscoJoaquim_To_AvBrasil;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0,00274999999999981
TimePath;FranciscoJoaquim_To_AvBrasil;[Travelers];Run;Throughput;NumberEntered;Total;589
TimePath;FranciscoJoaquim_To_AvBrasil;[Travelers];Run;Throughput;NumberExited;Total;589
TimePath;RioClaro_To_Anhanguera;[Travelers];Run;Content;NumberOnLink;Average;0,184375000000006
TimePath;RioClaro_To_Anhanguera;[Travelers];Run;Content;NumberOnLink;Maximum;1
TimePath;RioClaro_To_Anhanguera;[Travelers];Run;Content;NumberOnLink;Minimum;0
TimePath;RioClaro_To_Anhanguera;[Travelers];Run;FlowTime;TimeOnLink;Average;0,00375000000000011
TimePath;RioClaro_To_Anhanguera;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0,00375000000000014
TimePath;RioClaro_To_Anhanguera;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0,00374999999999992
TimePath;RioClaro_To_Anhanguera;[Travelers];Run;Throughput;NumberEntered;Total;590
TimePath;RioClaro_To_Anhanguera;[Travelers];Run;Throughput;NumberExited;Total;590
TimePath;RuiBarbosa_To_FransiscoJoaquim;[Travelers];Run;Content;NumberOnLink;Average;0,159520833333332
TimePath;RuiBarbosa_To_FransiscoJoaquim;[Travelers];Run;Content;NumberOnLink;Maximum;1
TimePath;RuiBarbosa_To_FransiscoJoaquim;[Travelers];Run;Content;NumberOnLink;Minimum;0
TimePath;RuiBarbosa_To_FransiscoJoaquim;[Travelers];Run;FlowTime;TimeOnLink;Average;0,00324999999999998
TimePath;RuiBarbosa_To_FransiscoJoaquim;[Travelers];Run;FlowTime;TimeOnLink;Maximum;0,00325000000000042
TimePath;RuiBarbosa_To_FransiscoJoaquim;[Travelers];Run;FlowTime;TimeOnLink;Minimum;0,00324999999999953
TimePath;RuiBarbosa_To_FransiscoJoaquim;[Travelers];Run;Throughput;NumberEntered;Total;589
TimePath;RuiBarbosa_To_FransiscoJoaquim;[Travelers];Run;Throughput;NumberExited;Total;589
